기사도,,,0,NNP,*,F,기사도,*,*,*,*,*
꽃 길,,,0,NNP,*,T,꽃 길,*,*,*,*,*
나는 달라,,,0,NNP,*,F,나는 달라,*,*,*,*,*
낙하,,,0,NNP,*,F,낙하,*,*,*,*,*
너를 보내며,,,0,NNP,*,F,너를 보내며,*,*,*,*,*
눈물뿐인 바보,,,0,NNP,*,F,눈물뿐인 바보,*,*,*,*,*
덤앤더머,,,0,NNP,*,F,덤앤더머,*,*,*,*,*
도망가,,,0,NNP,*,F,도망가,*,*,*,*,*
뚜두뚜두,,,0,NNP,*,F,뚜두뚜두,*,*,*,*,*
뛰어들게,,,0,NNP,*,T,뛰어들게,*,*,*,*,*
뜸,,,0,NNP,*,T,뜸,*,*,*,*,*
리듬 타,,,0,NNP,*,F,리듬 타,*,*,*,*,*
리얼리티,,,0,NNP,*,F,리얼리티,*,*,*,*,*
마지막 인사,,,0,NNP,*,F,마지막 인사,*,*,*,*,*
마지막처럼,,,0,NNP,*,T,마지막처럼,*,*,*,*,*
맙소사,,,0,NNP,*,F,맙소사,*,*,*,*,*
맨정신,,,0,NNP,*,T,맨정신,*,*,*,*,*
무모한 사랑,,,0,NNP,*,T,무모한 사랑,*,*,*,*,*
무제,,,0,NNP,*,T,무제,*,*,*,*,*
물 만난 물고기,,,0,NNP,*,F,물 만난 물고기,*,*,*,*,*
뱅뱅뱅,,,0,NNP,*,T,뱅뱅뱅,*,*,*,*,*
벌떼,,,0,NNP,*,T,벌떼,*,*,*,*,*
불장난,,,0,NNP,*,T,불장난,*,*,*,*,*
붉은 노을,,,0,NNP,*,T,붉은 노을,*,*,*,*,*
붐바야,,,0,NNP,*,F,붐바야,*,*,*,*,*
사람들이 움직이는 게,,,0,NNP,*,T,사람들이 움직이는 게,*,*,*,*,*
사랑을 했다,,,0,NNP,*,F,사랑을 했다,*,*,*,*,*
사랑해,,,0,NNP,*,T,사랑해,*,*,*,*,*
센치해,,,0,NNP,*,T,센치해,*,*,*,*,*
소년이여,,,0,NNP,*,F,소년이여,*,*,*,*,*
시간과 낙엽,,,0,NNP,*,T,시간과 낙엽,*,*,*,*,*
아낙네,,,0,NNP,*,T,아낙네,*,*,*,*,*
아무렇지 않은 척,,,0,NNP,*,T,아무렇지 않은 척,*,*,*,*,*
아이야,,,0,NNP,*,F,아이야,*,*,*,*,*
야 우냐,,,0,NNP,*,F,야 우냐,*,*,*,*,*
얼음들,,,0,NNP,*,T,얼음들,*,*,*,*,*
에라 모르겠다,,,0,NNP,*,F,에라 모르겠다,*,*,*,*,*
예감,,,0,NNP,*,T,예감,*,*,*,*,*
오늘 모해,,,0,NNP,*,T,오늘 모해,*,*,*,*,*
오랜 날 오랜 밤,,,0,NNP,*,T,오랜 날 오랜 밤,*,*,*,*,*
왜 또,,,0,NNP,*,F,왜 또,*,*,*,*,*
왜왜왜,,,0,NNP,*,F,왜왜왜,*,*,*,*,*
우리 사랑하지 말아요,,,0,NNP,*,F,우리 사랑하지 말아요,*,*,*,*,*
음 (MMM),,,0,NNP,*,T,음 (MMM),*,*,*,*,*
이리오너라,,,0,NNP,*,F,이리오너라,*,*,*,*,*
이별길,,,0,NNP,*,T,이별길,*,*,*,*,*
죽겠다,,,0,NNP,*,F,죽겠다,*,*,*,*,*
지못미,,,0,NNP,*,F,지못미,*,*,*,*,*
쩔어,,,0,NNP,*,F,쩔어,*,*,*,*,*
천국,,,0,NNP,*,T,천국,*,*,*,*,*
취향저격,,,0,NNP,*,T,취향저격,*,*,*,*,*
커플,,,0,NNP,*,T,커플,*,*,*,*,*
컬러링,,,0,NNP,*,T,컬러링,*,*,*,*,*
크레용,,,0,NNP,*,T,크레용,*,*,*,*,*
탕!♡,,,0,NNP,*,T,탕!♡,*,*,*,*,*
판타스틱 베이비,,,0,NNP,*,F,판타스틱 베이비,*,*,*,*,*
하루하루,,,0,NNP,*,F,하루하루,*,*,*,*,*
휘파람,,,0,NNP,*,T,휘파람,*,*,*,*,*
넥스트레벨,,,0,NNP,*,T,넥스트레벨,*,*,*,*,*
별빛사랑,,,0,NNP,*,T,별빛사랑,*,*,*,*,*
헤이마마,,,0,NNP,*,F,헤이마마,*,*,*,*,*
싱어게인,,,0,NNP,*,T,싱어게인,*,*,*,*,*
히든싱어,,,0,NNP,*,F,히든싱어,*,*,*,*,*
설강화,,,0,NNP,*,F,설강화,*,*,*,*,*
조선구마사,,,0,NNP,*,F,조선구마사,*,*,*,*,*
아이리스,,,0,NNP,*,F,아이리스,*,*,*,*,*
패밀리가 떴다,,,0,NNP,*,F,패밀리가 떴다,*,*,*,*,*
동창생,,,0,NNP,*,T,동창생,*,*,*,*,*
아이 엠 샘,,,0,NNP,*,T,아이 엠 샘,*,*,*,*,*
나인틴,,,0,NNP,*,T,나인틴,*,*,*,*,*
런닝맨,,,0,NNP,*,T,런닝맨,*,*,*,*,*
해피투게더,,,0,NNP,*,F,해피투게더,*,*,*,*,*
유희열의 스케치북,,,0,NNP,*,T,유희열의 스케치북,*,*,*,*,*
냉장고를 부탁해,,,0,NNP,*,T,냉장고를 부탁해,*,*,*,*,*
삼시세끼,,,0,NNP,*,F,삼시세끼,*,*,*,*,*
판타스틱 듀오,,,0,NNP,*,F,판타스틱 듀오,*,*,*,*,*
K팝스타,,,0,NNP,*,F,K팝스타,*,*,*,*,*
딩고뮤직,,,0,NNP,*,T,딩고뮤직,*,*,*,*,*
쇼미더머니,,,0,NNP,*,F,쇼미더머니,*,*,*,*,*
아는형님,,,0,NNP,*,T,아는형님,*,*,*,*,*
복면가왕,,,0,NNP,*,T,복면가왕,*,*,*,*,*
킹덤,,,0,NNP,*,T,킹덤,*,*,*,*,*
퀸덤,,,0,NNP,*,T,퀸덤,*,*,*,*,*
로드투킹덤,,,0,NNP,*,T,로드투킹덤,*,*,*,*,*
슈퍼스타K,,,0,NNP,*,T,슈퍼스타K,*,*,*,*,*
싱어게인2,,,0,NNP,*,T,싱어게인2,*,*,*,*,*
신서유기,,,0,NNP,*,F,신서유기,*,*,*,*,*
쇼미,,,0,NNP,*,F,쇼미,*,*,*,*,*
스트릿우먼파이터,,,0,NNP,*,F,스트릿우먼파이터,*,*,*,*,*
스우파,,,0,NNP,*,F,스우파,*,*,*,*,*
스걸파,,,0,NNP,*,F,스걸파,*,*,*,*,*
스트릿걸스파이터,,,0,NNP,*,F,스트릿걸스파이터,*,*,*,*,*
보이즈플래닛,,,0,NNP,*,T,보이즈플래닛,*,*,*,*,*
믹스나인,,,0,NNP,*,T,믹스나인,*,*,*,*,*
문명특급,,,0,NNP,*,T,문명특급,*,*,*,*,*
아육대,,,0,NNP,*,T,아육대,*,*,*,*,*
엔칸토,,,0,NNP,*,F,엔칸토,*,*,*,*,*
YG보석함,,,0,NNP,*,T,YG보석함,*,*,*,*,*
프로듀스,,,0,NNP,*,F,프로듀스,*,*,*,*,*
프듀,,,0,NNP,*,F,프듀,*,*,*,*,*
나 혼자 산다,,,0,NNP,*,F,나 혼자 산다,*,*,*,*,*
나혼산,,,0,NNP,*,T,나혼산,*,*,*,*,*
미운 우리 새끼,,,0,NNP,*,F,미운 우리 새끼,*,*,*,*,*
미우새,,,0,NNP,*,T,미우새,*,*,*,*,*
놀면뭐하니,,,0,NNP,*,F,놀면뭐하니,*,*,*,*,*
방과후 설렘,,,0,NNP,*,T,방과후 설렘,*,*,*,*,*
루이비통,,,0,NNP,*,T,루이비통,*,*,*,*,*
크롬 하츠,,,0,NNP,*,F,크롬 하츠,*,*,*,*,*
톰 브라운,,,0,NNP,*,T,톰 브라운,*,*,*,*,*
생로랑,,,0,NNP,*,T,생로랑,*,*,*,*,*
MCM,,,0,NNP,*,T,MCM,*,*,*,*,*
삼성전자,,,0,NNP,*,F,삼성전자,*,*,*,*,*
현대카드,,,0,NNP,*,F,현대카드,*,*,*,*,*
데이즈드,,,0,NNP,*,F,데이즈드,*,*,*,*,*
나이키,,,0,NNP,*,F,나이키,*,*,*,*,*
아디다스,,,0,NNP,*,F,아디다스,*,*,*,*,*
데상트,,,0,NNP,*,F,데상트,*,*,*,*,*
노스페이스,,,0,NNP,*,F,노스페이스,*,*,*,*,*
푸마,,,0,NNP,*,F,푸마,*,*,*,*,*
컨버스,,,0,NNP,*,F,컨버스,*,*,*,*,*
무신사,,,0,NNP,*,F,무신사,*,*,*,*,*
마녀공장,,,0,NNP,*,T,마녀공장,*,*,*,*,*
디올,,,0,NNP,*,T,디올,*,*,*,*,*
뷰티스토리,,,0,NNP,*,F,뷰티스토리,*,*,*,*,*
엘르코리아,,,0,NNP,*,F,엘르코리아,*,*,*,*,*
싸이월드,,,0,NNP,*,F,싸이월드,*,*,*,*,*
백비트,,,0,NNP,*,F,백비트,*,*,*,*,*
소리바다,,,0,NNP,*,F,소리바다,*,*,*,*,*
멜론,,,0,NNP,*,T,멜론,*,*,*,*,*
Mnet,,,0,NNP,*,T,Mnet,*,*,*,*,*
오리콘 차트,,,0,NNP,*,F,오리콘 차트,*,*,*,*,*
닛폰 테레비,,,0,NNP,*,F,닛폰 테레비,*,*,*,*,*
SBS,,,0,NNP,*,T,SBS,*,*,*,*,*
KBS,,,0,NNP,*,T,KBS,*,*,*,*,*
MBC,,,0,NNP,*,T,MBC,*,*,*,*,*
가온 차트,,,0,NNP,*,F,가온 차트,*,*,*,*,*
