쁘걸,,,0,NNP,인명,T,쁘걸,*,*,*,*,*
이달소,,,0,NNP,인명,F,이달소,*,*,*,*,*
프나,,,0,NNP,인명,F,프나,*,*,*,*,*
프미나,,,0,NNP,인명,F,프미나,*,*,*,*,*
투바투,,,0,NNP,인명,F,투바투,*,*,*,*,*
골차,,,0,NNP,인명,F,골차,*,*,*,*,*
트와,,,0,NNP,인명,F,트와,*,*,*,*,*
스키즈,,,0,NNP,인명,F,스키즈,*,*,*,*,*
엔플라잉,,,0,NNP,인명,T,엔플라잉,*,*,*,*,*
데이식스,,,0,NNP,인명,F,데이식스,*,*,*,*,*
갓세븐,,,0,NNP,인명,T,갓세븐,*,*,*,*,*
러블리즈,,,0,NNP,인명,F,러블리즈,*,*,*,*,*
레이디스코드,,,0,NNP,인명,F,레이디스코드,*,*,*,*,*
셀럽파이브,,,0,NNP,인명,F,셀럽파이브,*,*,*,*,*
신현희와김루트,,,0,NNP,인명,F,신현희와김루트,*,*,*,*,*
아이즈원,,,0,NNP,인명,T,아이즈원,*,*,*,*,*
아이오아이,,,0,NNP,인명,F,아이오아이,*,*,*,*,*
엠씨더맥스,,,0,NNP,인명,F,엠씨더맥스,*,*,*,*,*
워너원,,,0,NNP,인명,T,워너원,*,*,*,*,*
위키미키,,,0,NNP,인명,F,위키미키,*,*,*,*,*
여자아이들,,,0,NNP,인명,T,여자아이들,*,*,*,*,*
토요태,,,0,NNP,인명,T,토요태,*,*,*,*,*
MSG워너비,,,0,NNP,인명,F,MSG워너비,*,*,*,*,*
베리굿,,,0,NNP,인명,T,베리굿,*,*,*,*,*
