아티스트e	아티스트k	장르	멤버	역할	앨범	곡	프로그램	브랜드	음원플랫폼	수상	기획사	행사	외국지명	팬덤k	팬덤e	기타	배우e	배우k	한국지명	직업	행사2	수상2	방송플랫폼	작품	장르2	기업
HOONY	엔하이픈		장수원		싱글 D	Ma Girl			디씨		쏘스뮤직		암스트레담			코시국		이광수	익산	성악가						
iKon	오마이걸		정찬우		싱글 E	MILLIONS			브이앱		씨엘엔컴퍼니		애너하임			커버송		진지희	세종	연주자						
JAY	우아		제니		싱글 M	MONSTER			엠카		아이오케이컴퍼니		엘에이			최애곡		차승원	전주	작곡가						
JENNIE	위클리		준규		학원별곡	MY HEAVEN			펨코		어비스컴퍼니		영국			토크쇼		정희영	대전	작사가						
JINU	이달의 소녀		지드래곤		항해	MY TREASURE					울림엔터테인먼트		오사카			제스쳐		장현성	무주	지휘자						
JISOO	있지		지디			Oh My Friend					워너뮤직		오클랜드			음원플랫폼		로지	충주	싱어송라이터						
JU-NE	크래비티		지수			Oh Yeah					카카오엔터테인먼트		요코하마			입덕		김태리	문경	DJ						
KRUNK	태티서		지훈			Okey Dokey					커넥트엔터테인먼트		우한			탈덕		정신혜	상주	무용가						
LISA	투모로우바이투게더		최현석			On The Ground					큐브엔터테인먼트		워싱턴 DC			헤어스타일		서은수	김천	미술가						
MINO	트와이스		크렁크			one of a kind					풍경엔터테인먼트		일본			K팝		배인혁	구미	조각가						
ROSÉ	프로미스나인		탑			Pretty Savage					플레디스엔터테인먼트		자카르타					배우진	충주	판화가						
SECHSKIES	골든차일드		태양			REALLY REALLY					제왑피		중국						제천	행위예술가						
SONG	베리베리		하루토			RE-BYE					드라마하우스		창사						김제	건축가						
Suhyun	온앤오프		Key			Remember					스엠		창원						정읍	목수						
T.O.P	원어스		MJ			Road Fighter					빅히트엔터테인먼트		청두						신안	공예가						
TAEYANG	펜타곤		RM			RUNAWAY							충칭						나주	도예가						
TREASURE	라붐		강다니엘			SOLO							치바						광주	디자이너						
WINNER	브레이브걸스		고원			SOSO							쿠알라쿰푸르						남원	사진가						
YOON	에버글로우		규현			STAY							타이페이						함양	감독						
EVERGLOW	우주소녀		기현			STILL ALIVE							태국						목포	애니메이터						
IVE	아이브		김남주			This Love							토론토						진도	제작자						
MOMOLAND	모모랜드		김동현			Turn It Up							파리						완도	평론가						
PSY	싸이		김립			We Belong Together							항저우						고흥	큐레이터						
EXID	블핑		나나			WE LIKE 2 PARTY							호주						여수	갤러리스트						
N.Flying	옴걸		나연			거북선							호치민						순천	아트디렉터						
DAY6	방탄		노지선			거짓말							홍콩						광양	매니저						
	볼빨사		뉴			겁							효고						여수	딜러						
	레벨		니키			공허해							후쿠오카						진주	복원전문가						
	쁘걸		닝닝			그 XX							휴스턴						사천	광대						
	이달소		다원			기사도							네팔						창원	내레이터						
	프나		다현			꽃 길													부산	모델						
	프미나		도겸			나는 달라													밀양	무희						
	투바투		도영			낙하													대구	연예인						
	골차		동해			너를 보내며													영천	가수						
	트와		디노			눈물뿐인 바보													경주	아이돌						
	스키즈		디에잇			덤앤더머													울산	싱어송라이터						
	엔플라잉		디오			도망가													포항	모창						
	데이식스		라키			뚜두뚜두													울진	락커						
	갓세븐		런쥔			뛰어들게													강릉	힙합						
	러블리즈		레이			뜸													제부도	개그맨						
	레이디스코드		려욱			리듬 타													김포	코미디언						
	셀럽파이브		로운			리얼리티													강남	배우						
	신현희와김루트		루시			마지막 인사													강북	마술사						
	아이즈원		루카스			마지막처럼													혜화	성우						
	아이오아이		류진			맙소사													대학로	프로듀서						
	엠씨더맥스		리노			맨정신													하남	MC						
	워너원		리아			무모한 사랑													사당	아나운서						
	위키미키		마크			무제													교대	서커스						
	여자아이들		먼데이			물 만난 물고기													왕십리	유랑극단						
	토요태		모모			뱅뱅뱅													강변	방송인						
	MSG워너비		문별			벌떼													잠실	유튜버						
	베리굿		문빈			불장난													역삼	크리에이터						
	엑스원		미나			붉은 노을													합정	스트리머						
	우아!		미미			붐바야													홍대	BJ						
			민규			사람들이 움직이는 게													신촌	PD						
			민기			사랑을 했다													이대	레이서						
			민서			사랑해													이수	게이머						
			민혁			센치해													아현	레슬러						
			민호			소년이여													인천공항	프로기사						
			민희			시간과 낙엽														치어리더						
			박소은			아낙네														해설자						
			박우진			아무렇지 않은 척														산악인						
			박지원			아이야														코치						
			박초롱			야 우냐														구단주						
			방찬			얼음들														프런트						
			백지헌			에라 모르겠다														리포터						
			백현			예감														파파라치						
			버논			오늘 모해														특파원						
			범규			오랜 날 오랜 밤														앵커						
			뷔			왜 또														캐스터						
			비니			왜왜왜														편집자						
			비비			우리 사랑하지 말아요														뱃사공						
